AccountNumber,Name,NumberOfEmployees,NumberOfLocations__c,Phone,SLA__c,SLASerialNumber__c,Account_Number_External_ID__c,IsActive,CreatedDate,AmountPaid
423,Olga,82,35,692-186-7269,silver,071922298,5ee53683-0b23-48b2-93ec-286317f1b374,true,5/25/2025,76.76
424,Ellen,24,26,121-701-5176,silver,071923255,430b56e3-29ef-487a-8fc0-88f1bec78b1b,false,3/28/2025,92.68
425,Adey,77,60,775-786-0554,gold,322270262,3f0a5576-51ae-4d23-a416-235ee19b79d2,true,3/25/2025,76.31
426,Elene,39,70,182-415-9929,bronze,272471661,c0043f3d-9d8a-4c76-8dec-6accb1b2ad55,true,10/7/2024,54.69
427,Doria,83,30,556-790-1689,platinum,113023990,63f6028b-edf4-4a8e-9c67-3759425aad59,false,9/8/2024,93.57
428,Kathlin,3,8,453-786-5975,bronze,063104312,26b108e6-7f7c-4ee0-8431-4b3664765413,true,1/16/2025,44.6
429,My,37,61,539-821-5323,bronze,086519311,594afe6b-e0e9-46ac-a453-b14a74c297f9,true,8/7/2025,21.82
430,Emilee,5,99,343-117-1990,platinum,125107998,5e96a993-8351-4679-83e7-8036986d979f,true,7/31/2025,29.32
431,Demetria,71,30,538-346-7465,gold,073921190,b636c2c6-7550-4397-b08f-411ec4c5e201,true,4/3/2025,55.51
432,Orlando,17,6,156-282-5012,bronze,073902274,e2579bc3-0ac8-48f8-9cc5-a4c8cd6afb50,false,12/3/2024,42.08
433,Koral,75,73,484-300-6255,silver,122243237,a5e8f29e-a1bb-4b09-93cf-d6556a1f84a5,true,8/3/2025,27.62
434,Maria,62,35,641-685-6141,gold,091910879,be683ed4-5179-486b-9b71-2776d17a6725,false,11/6/2024,54.11
435,Hi,31,84,642-114-0479,silver,107005607,12f536a8-5392-4aba-a8d3-5bc5c5609c3e,true,2/4/2025,79.69
436,Hilliard,60,60,309-346-6472,platinum,056008852,09668711-61cd-4db4-a8e8-c5dc858507c4,true,10/1/2024,18.5
437,Gretel,77,74,332-297-9220,silver,226070555,e680e846-be72-4eb3-8864-989d83afb9bd,false,12/18/2024,60.47
438,Ottilie,60,55,738-562-0290,silver,011302519,37c64ddd-9cc9-4f1f-a218-2b84305c1d13,false,10/27/2024,78.56
439,Prudence,47,95,394-442-9197,gold,101101057,8ec8eaa7-9073-4f3c-9041-cc9edea597e3,false,9/26/2024,26.36
440,Demetrius,39,64,180-333-0202,silver,211274586,3a66354a-4222-40f9-81d3-6f0d73bef5f9,true,2/16/2025,88.66
441,Kipp,34,55,165-894-1820,platinum,031207911,698208f6-c2c2-49b5-bd55-41db596fe596,false,1/14/2025,19.78
442,Sheba,88,26,811-695-7771,bronze,113110667,1cf6b323-9b05-4404-a048-fa05d75781db,true,11/30/2024,23.88
443,Gary,8,99,829-578-2026,platinum,061102701,d2aeef1b-2197-43aa-a758-ab61d2cee898,false,5/26/2025,77.19
444,Lorain,5,86,281-137-0321,silver,071101996,e35f7d23-735a-49f4-b546-eb317ffd817e,true,2/23/2025,99.57
445,Zitella,88,67,375-154-3726,silver,011101752,45d156de-be0f-419b-a439-95fc294243fd,true,9/27/2024,75.93
446,Crawford,14,50,622-810-1651,bronze,122105922,bdc415bd-c79c-4c7f-95ee-392e1146730a,false,8/28/2024,91.36
447,Boy,100,46,879-710-6776,platinum,081501065,2049b7f9-315c-45a3-ad73-1408c03ca25e,false,4/29/2025,29.53
448,Ophelia,77,50,773-457-1689,gold,071922670,9a63f651-f87e-4345-bf75-6c2a818aeadb,false,2/9/2025,57.59
449,Noreen,7,3,402-532-0689,silver,065201116,a41bba9e-e930-4b3f-b686-24b270bce2b0,true,8/27/2024,95.74
450,Kittie,17,49,303-452-5153,platinum,111308633,47ed59f7-c7ff-450b-a7cb-1c7bc104d6f0,false,11/19/2024,36.75
451,Michale,7,43,868-103-4242,platinum,081202759,ef01485c-22b0-4d48-a9b5-c86a42f3f2fe,false,1/8/2025,23.08
452,Phaedra,4,83,929-544-5228,bronze,044106944,83fd4e3f-9a85-463d-a2c5-d471d4331fdf,false,12/25/2024,41.41
453,Idalina,55,38,544-403-1788,bronze,114017714,8f955897-7b9b-4349-a4c5-39d5151b77e8,false,10/23/2024,7.99
454,Nancy,81,46,304-482-0474,silver,091512031,0c080d63-2679-4c6c-90cb-c33293dd1154,false,12/1/2024,42.37
455,Daisy,42,11,977-516-8589,silver,101005690,fbf12141-80ef-446e-b962-86863f6891a9,false,9/1/2024,29.28
456,Marc,6,20,219-361-4473,platinum,122105553,6e5e7fd7-0b5d-4dc9-9478-ebd9d481285e,true,10/8/2024,32.21
457,Aubrette,45,65,573-960-7342,platinum,072405662,c3baedab-0113-4139-a8a5-04f3644de55d,false,11/16/2024,49.72
458,Elwyn,47,25,688-509-3307,gold,102002757,3dfe3366-e9e4-4b99-8d7c-8529d5f662be,false,2/3/2025,29.94
459,Cary,3,12,102-315-1514,silver,067011760,aa0899c3-9f16-4cc5-855e-543485bce835,true,1/17/2025,11.79
460,Wilt,39,34,201-244-2067,gold,081200544,e04a33cc-eac6-4cef-82dd-890c41dc847a,false,1/12/2025,18.68
461,Augie,57,16,727-112-4522,platinum,043018868,a3cd5ac5-c104-4119-a817-06472ed87782,true,4/5/2025,66.81
462,Elsy,99,32,987-422-3848,bronze,011104173,047bd12d-ea0e-425a-9c84-acf58b6aef7f,false,3/14/2025,55.22
463,Aundrea,72,41,569-863-3983,bronze,091216696,4999af90-6edf-4ecb-a957-30838bf15698,false,11/22/2024,34.23
464,Theobald,36,89,577-728-9228,gold,021109935,68eaa58f-23f0-4519-bfd6-cea6d0e0febf,false,6/5/2025,19.91
465,Madge,29,97,795-458-0085,bronze,071000343,73bb6c17-3764-4a6c-a4b1-83fd823ec2d1,false,8/12/2025,94.65
466,Stern,35,49,841-191-9139,silver,273970365,05fcc55f-9c5b-413c-9c37-dce62102ff8c,false,5/31/2025,6.41
467,Cissiee,81,67,210-423-8752,silver,042203001,be4963ef-6e2e-48ba-b646-f1e8e8c58b84,true,3/25/2025,66.33
468,Jonathan,71,61,943-830-7160,platinum,011001962,304510f7-e675-485b-ab5e-90a8a5719a3c,false,4/17/2025,79.35
469,Davey,30,54,781-905-0381,bronze,075902816,c133cf30-15db-49e7-840d-c633defff3ed,true,9/21/2024,4.91
470,Parnell,10,100,459-888-7312,gold,062204158,64465a89-ada9-4b69-a529-c994d1d558c8,true,10/29/2024,24.04
471,Ernaline,58,18,627-660-0629,gold,125007098,e13fc476-2eb4-4c5f-a1cb-25ec54cbd45a,true,4/30/2025,89.98
472,Harri,100,62,821-573-6469,platinum,061220353,b7095628-6365-457d-9a60-7a47484af5d4,false,2/13/2025,23.12
473,Gracie,45,43,381-385-0027,platinum,073903419,e057ad90-c8d4-427a-be35-85ff51920dc3,true,7/30/2025,69.95
474,Jared,5,21,385-947-4922,gold,102089644,361557e2-7946-4b4f-8ec3-dda1749c2e05,true,6/20/2025,35.46
475,Elsbeth,39,60,817-400-3184,bronze,222371876,f7aa6159-5bb4-4ad1-8bb1-e79b82006fd2,false,10/9/2024,83.67
476,Sherye,87,85,446-519-9058,bronze,253173661,9b18a3eb-fb7b-4770-9e9b-9693fd8f1516,true,6/2/2025,39.75
477,Regen,88,17,977-526-4310,gold,262285223,93033b22-8ef5-49d0-a023-67e638c044f5,false,9/4/2024,94.55
478,Carmine,51,7,758-194-1070,gold,103112125,eef5c5f8-bdc2-4f4c-adf9-fb0668e6a5f3,false,11/26/2024,74.66
479,Neila,98,45,206-639-0496,bronze,091408983,38de73d2-3229-4b9b-80ff-5efc08c721fc,false,7/10/2025,76.76
480,Eleanora,57,89,823-309-5918,bronze,067012057,fce37554-53b5-43f7-a3d1-3d07dd91d3e4,false,7/27/2025,35.45
481,Roda,42,39,476-573-6579,silver,103102193,4eca7f05-19e9-41e7-b61f-f5ce2d3a3dc7,true,8/18/2024,56.07
482,Jorgan,48,60,713-299-6176,silver,067005475,801f8a98-1c4d-412d-aa85-c960d15383f5,true,6/4/2025,18.09
483,Josy,23,17,770-692-4821,platinum,067003778,b6375dfc-b6f3-4465-a8fe-dbafe9bf1898,false,10/10/2024,95.38
484,Kara-lynn,14,14,880-392-2906,gold,073921190,d42df571-926f-42be-92ff-c5be95b6d6c1,false,6/15/2025,41.19
485,Jaine,58,6,954-252-1571,gold,103000813,6f7fc52f-0f84-4ab7-8f75-3c472b32017c,false,3/1/2025,67.48
486,Lawton,69,9,658-199-5780,bronze,101114303,a0cc33cd-7052-4737-8763-88a60e2a6eda,false,7/10/2025,36.5
487,Saunders,68,49,582-918-3441,gold,101104795,4625f0ea-484e-4076-9c9e-0e6a0658284a,false,3/7/2025,26.93
488,Rosemarie,18,5,951-257-5820,platinum,062205665,94dfc33b-d46e-47ff-be55-240edfae8ad1,false,6/9/2025,78.48
489,Adamo,5,28,585-780-6595,platinum,074900657,c0ed2cfb-9258-4338-9aff-cc1eefd0969f,false,4/20/2025,36.15
490,Deedee,57,9,283-670-3332,gold,084205452,33b04536-6b12-4db9-aecd-839807818a46,false,4/5/2025,87.21
491,Charlotte,72,57,998-100-8820,silver,064105200,4aeccf58-b6eb-4504-a6e5-0318d711247e,false,5/7/2025,55.78
492,Tracie,87,71,862-641-4672,silver,107089555,48e22704-7d23-4c6f-b994-24f8f0d70fec,true,3/30/2025,91.44
493,Etienne,43,98,730-105-6447,silver,125107008,7cf980ff-168c-4f0d-8cf7-f04d0bb48ce0,false,3/25/2025,12.29
494,Isobel,20,36,605-263-6326,platinum,067005679,9053c724-59cb-49a7-85ae-4c9de2dcaab9,true,11/15/2024,24.37
495,Brant,70,45,185-549-3874,bronze,114009816,fc3dd7f6-6253-4987-9892-4a78a6a16098,true,2/28/2025,50.82
496,Bengt,68,59,223-173-6452,gold,021409567,3bc0f984-d265-4564-bddb-fbbf3ef0375e,true,12/24/2024,67.42
497,Garold,85,8,509-227-4283,platinum,121141864,ca1c7f4e-b736-4ec3-bccc-1a65e419b214,true,2/17/2025,95.56
498,Sybila,74,40,753-166-6727,silver,031307468,abe8a00f-913e-4263-a7e0-5f59768c8e2b,false,11/1/2024,48.2
499,Rhett,98,11,545-360-4794,bronze,053201814,4b146d40-9371-4e6c-9908-0bbffd037904,false,4/27/2025,68.07
500,Clarisse,48,68,360-176-8157,silver,103101725,c6d563b7-6e18-4bd9-a185-6a3d4e9a44cd,false,1/2/2025,8.99
501,Henryetta,69,84,318-475-0997,gold,051900366,62ba1bdf-389e-4b35-a654-b9b0f4f3d64b,true,3/25/2025,44.8
502,Nathanael,16,25,964-272-7837,platinum,241070459,5e97b195-c956-4208-b57e-a4eeffbcd635,false,7/30/2025,77.19
503,Duane,9,58,766-727-4187,platinum,091800015,99679c79-72af-4613-bdf4-5eb7b5e62b68,false,1/24/2025,86.72
504,Dinnie,80,5,222-710-3760,platinum,065301948,8daaab95-373b-4f45-b6da-0c763b6927db,true,7/1/2025,92.41
505,Cathleen,58,100,108-261-2494,bronze,081501793,0bf0a45c-59b1-46b6-80d1-07ef7eecd63c,true,3/27/2025,91.13
506,Berne,89,41,707-737-3323,bronze,064206031,e11f7ca2-6bb9-4812-a35a-d43d318b0133,true,9/14/2024,62.48
507,Clemente,66,63,655-544-8764,gold,053100258,00f08192-3ae2-4396-bf67-5ce03f3dd2dc,true,3/2/2025,86.68
508,Carolynn,54,30,714-307-3212,gold,082908777,b774c164-d483-430d-81d9-4a8bc696a351,false,8/16/2024,68.03
509,Fanchette,58,80,178-945-0888,gold,123202125,bbb5b333-1b24-4ec1-8301-0a12495a75d7,true,3/16/2025,13.53
510,Yehudi,21,61,850-321-5327,platinum,091904872,cb0548e8-ecb0-4257-bddd-d305e4179819,true,7/3/2025,43.51
511,Jessie,93,9,378-567-4747,platinum,221272442,05d4dbbc-0dfa-471c-a91f-fc83861fd0c7,true,11/15/2024,81.35
512,Gaultiero,52,27,886-763-6817,gold,092901078,f9e2bad6-ae8d-4165-b2e1-694c15791e28,false,1/31/2025,33.67
513,Ranice,68,29,603-203-1434,platinum,051403630,607511d4-3073-4479-8e6d-0f43e199a537,true,5/6/2025,83.04
514,Nari,7,42,883-319-0558,silver,071005979,f8b38214-e9fa-4d9e-9463-71dcb177d8bd,true,12/18/2024,29.25
515,Lauryn,76,1,382-459-6842,silver,101219017,e0ac7db2-8ad6-456e-9faa-6073cf5ceb5c,true,9/30/2024,18.69
516,Basilius,88,74,161-148-4042,silver,061020977,533ebb60-dbb7-4c4d-9d09-c90c760c7c31,true,1/10/2025,65.66
517,Rockwell,99,47,495-903-0019,gold,081903524,dfa09c8e-35bd-4a6b-9a0f-0ea266a16058,true,3/19/2025,46.22
518,Jackson,51,86,555-207-8609,platinum,113000609,1880c671-a652-45e7-848d-a83465714591,true,6/10/2025,89.46
519,Nettle,79,71,985-109-3860,platinum,322170692,c7e4bc68-7ce4-4e9d-80c7-58e94d4ba6aa,true,10/17/2024,71.65
520,Augy,77,7,169-983-2760,bronze,011375245,08661e08-6017-4814-bae6-3eee31032563,false,6/17/2025,78.41
521,Thaxter,78,46,848-940-0030,silver,091408996,9e8c2f68-8243-4faa-a64a-c8473d864623,true,7/23/2025,32.18
522,Wandis,24,66,943-933-4538,bronze,113125953,07475edf-bf29-40a9-8176-63d9a31321d0,true,1/8/2025,30.76
523,Barrett,86,82,223-286-7631,silver,084204929,e3520add-3974-44a4-8654-8a58c264fad4,false,1/20/2025,19.06
524,Ramona,96,38,930-639-8625,silver,031902038,cf258e9c-77d2-4593-b441-5f6cdd39ccdd,true,11/3/2024,95.86
525,Salome,6,96,816-591-2179,gold,211174990,102a7a8a-cdc0-4412-8134-41cdbb32a805,false,10/31/2024,7.82
526,Ally,2,76,751-174-7808,silver,242071295,646723bc-eb0e-493e-8484-b930d3658d0a,true,8/24/2024,62.62
527,Hettie,77,34,505-605-8060,platinum,241270039,2bc0ac93-0f63-4eaa-8135-41ba980abda4,true,6/6/2025,36.48
528,Clim,14,40,474-913-4185,bronze,111907775,21ac44cc-e8aa-46af-aeff-578254c5e75c,false,3/4/2025,35.23
529,Munmro,86,50,896-578-5179,silver,067016354,e59b0aac-58fc-43ab-a27a-f23f2796e137,true,3/13/2025,98.78
530,Kendrick,64,74,116-763-3307,silver,113106833,99520b60-9902-4b79-8f6d-51568229523a,false,4/14/2025,25.55
531,Jamey,44,27,229-983-9519,silver,042104249,a898b600-fdac-4870-8693-ce7c4caf3506,false,10/20/2024,91.39
532,Auria,71,56,930-611-5645,silver,072413256,d0959807-e97c-463f-ae12-c660694cfabe,true,9/25/2024,46.1
533,Norris,32,16,791-297-6339,bronze,067009280,8855012b-9b3c-40b6-8340-df89f5336e2f,true,9/14/2024,50.92
534,Peria,51,18,546-430-0987,platinum,231371579,50c36009-74c0-4b74-9a14-f1bde89aefb3,true,6/6/2025,35.54
535,Rafe,37,66,113-177-1397,bronze,091811758,96d75b12-a661-488b-86d3-18371794216d,true,8/27/2024,79.74
536,Frankie,28,20,753-543-5705,silver,031902216,c9aaf0d5-d050-498e-939e-575074c6c7c2,true,8/18/2024,92.3
537,Dagny,77,99,344-462-4497,silver,101101439,f337b008-b357-42e1-a504-b6b78746a4f7,true,10/20/2024,13.54
538,Tandy,19,69,818-489-4120,platinum,092905508,40db34a1-68d3-4ad1-a4d2-b0c62e50954c,false,10/4/2024,19.14
539,Cullan,73,26,865-995-0582,platinum,111308031,68f50bff-7be5-4137-a4dd-ddf6e8f005c6,true,11/1/2024,83.13
540,Jamaal,66,95,936-651-0315,bronze,101205063,da2b8a93-b4cf-4097-9ec9-e4682529cc23,true,6/29/2025,20.23
541,Viviene,95,83,506-509-9641,silver,082902472,59a47d39-02e7-4463-97e2-facc49dce340,false,4/17/2025,2.13
542,Brier,27,1,413-914-7854,platinum,243373222,f5eac50a-5d9a-462d-a4f2-8cde9aa6f5d7,true,4/4/2025,79.18
543,Britte,7,78,600-643-1025,gold,053102117,c8ebe8d4-7052-4b56-83c9-9e0a9a763171,true,12/2/2024,86.65
544,Dillie,67,74,749-297-2200,platinum,125200963,a5d76795-774c-4725-86ec-4ce32e889022,false,7/11/2025,19.41
545,Jacquelin,46,91,809-954-5263,gold,081518375,86f0ddae-1af3-485b-850d-51f09bb72ed9,true,5/10/2025,53.04
546,Cecily,98,90,248-661-4237,bronze,103101631,c4c28e21-8b31-4303-b8c7-62e8a2aed592,false,8/24/2024,66.13
547,Annadiana,50,58,892-356-6568,gold,121122676,e6a682f6-a835-4f07-ab7f-720b299d9306,true,7/2/2025,88.69
548,Jacklin,90,45,848-613-8927,platinum,021606674,40ecacd7-44f2-4f93-81e0-3037f68d9ce3,false,11/26/2024,30.4
549,Gavrielle,27,10,212-117-0396,gold,111901302,a168b794-11e2-4874-a940-d01cf4771b61,false,9/23/2024,85.45
550,Sondra,74,78,357-900-0927,platinum,113123366,5a725e1f-3291-4d39-b5f5-ae2806034a7b,false,10/4/2024,90.7
551,Paddy,51,85,353-940-1513,platinum,073906005,750166f3-f416-4e44-902a-3ff328cf36e3,false,6/5/2025,14.33
552,Damita,99,42,183-795-1682,silver,071921697,2014d469-35b0-4f2e-bd22-e3ba5f6c55cf,true,9/19/2024,7.23
553,Shaylynn,95,16,102-193-5270,bronze,072401789,29492b3e-122d-400b-9bb2-689e9d8175c7,true,12/2/2024,51.34
554,Vilhelmina,43,90,817-821-5790,bronze,123203218,34715694-a9fa-45b8-beb5-8249bc245fa1,false,8/2/2025,18.03
555,Darrin,44,61,288-875-5442,gold,053101561,f1dec4a8-36e0-423b-bc5a-298abb283357,false,12/8/2024,16.12
556,Pedro,20,31,138-938-8333,bronze,071902797,54ee1597-1485-48dc-b7b0-a5d0f6a11724,true,6/30/2025,10.48
557,Jammal,3,96,860-869-5449,platinum,113008766,393c2dde-27f4-40db-a82d-311541bb5f5e,true,7/24/2025,5.38
558,Rhianon,87,98,510-113-6652,gold,114902683,3247fc69-f555-460b-938c-4a64d15409b2,true,4/23/2025,69.57
559,Colan,3,12,862-466-3790,gold,101104494,7c954d68-2888-4beb-a5b0-c0f337bdcb46,true,7/10/2025,78.76
560,Erny,76,46,530-614-6407,platinum,063102259,66e52798-1eb8-46f1-b1d7-7a1148cb1437,true,2/9/2025,93.8
561,Lynne,82,71,526-910-4783,silver,102105816,61d17bab-cb9a-42c2-b093-84d242f948b6,false,2/20/2025,12.28
562,Aggi,94,34,244-856-0269,gold,065502608,3358e27e-79f2-4dc2-91d4-ddcbc300d8d4,true,5/19/2025,77.28
563,Muire,97,19,490-169-0302,bronze,122231935,a17fc278-3847-4aa7-8ceb-34bd27db18f1,false,11/30/2024,26.88
564,Jobie,7,95,143-482-3363,bronze,067015258,e91c269d-b8c0-4785-afe5-2287a49181aa,false,11/2/2024,90.01
565,Junia,61,96,103-805-9113,bronze,114000776,99524f2f-46c1-4752-9588-1223474b80af,true,2/18/2025,39.15
566,Garrot,94,89,648-341-1618,platinum,211371638,d50a933c-8f18-4328-b342-3a3a7194325d,false,5/3/2025,17.35
567,Gwyn,63,5,520-671-0651,silver,072404948,b96df327-6676-44e5-a170-1fdd2d8ca5d2,false,6/15/2025,99.45
568,Shauna,82,8,459-488-1172,platinum,031317021,81403fe6-265c-43a1-979f-3da4f3baa86f,true,3/14/2025,79.98
569,Catherin,25,69,230-319-2340,platinum,122238242,b54039db-e8ee-4a26-bac8-ac6f993847b2,true,10/9/2024,35.08
570,Ragnar,20,21,688-749-7425,platinum,111101694,341d0838-dc67-469a-8bec-8d0634dde4a9,true,3/30/2025,88.79
571,Christiana,51,33,928-576-9821,bronze,067014194,d72a7ca7-d8a8-41be-b2f3-0a6de8161e76,false,4/22/2025,2.15
572,Tiffanie,71,62,937-145-1111,silver,121141042,c77190af-8c7f-4078-b976-cfddb84db8d7,true,7/5/2025,93.49
573,Nerty,64,6,208-370-0702,bronze,021205871,c29d1e58-b9c7-4c26-8fb4-dacb9ae5b32f,true,8/22/2024,2.82
574,Evie,46,20,331-927-3667,bronze,122231935,857a25db-4085-426e-afd8-d77ac03f0b67,false,6/10/2025,29.5
575,Joanne,70,23,710-346-1350,bronze,114917623,4c450f37-c95c-4b1f-a585-df357241f7cb,false,3/8/2025,94.52
576,Nesta,95,70,914-200-5450,bronze,083009060,ffe91ba2-6d9b-4970-b084-e60c8534b7bf,true,9/14/2024,90.06
577,Katheryn,3,12,108-452-4033,platinum,111010060,5432aa70-6ab7-4c2b-8c86-dd13ef1d95f1,false,3/20/2025,29.56
578,Ethelin,25,26,530-602-4526,gold,072412927,bb82b866-ce59-41ee-ac7c-9b19d06446a6,true,7/21/2025,98.82
579,Maxwell,61,98,443-355-6943,platinum,075908658,ed021129-42f0-4a5d-88d8-8243752bbde4,false,8/30/2024,4.15
580,Seline,86,83,782-268-2218,gold,255072317,1fbf0c4f-bad3-4ec2-a0cb-a875abb27eaf,false,5/24/2025,44.96
581,Foster,43,24,201-203-6596,platinum,042000398,1750d318-5461-446e-b3e1-a0f7dad4666f,true,2/26/2025,47.53
582,Iorgo,42,59,110-913-5240,bronze,071923310,67f2d910-2381-4122-9e19-60359ef0b2eb,false,6/24/2025,94.0
583,Quinlan,88,12,194-636-3385,bronze,042100230,96ae4324-2c2d-46e0-9773-c4186332ccd5,false,3/19/2025,78.62
584,Jeanie,80,92,166-927-8536,platinum,081208928,8a6bb526-dd8c-449f-9c27-d456128dac47,true,3/23/2025,97.29
585,Mordy,71,73,781-251-2673,silver,111923898,badd7b17-e4fd-4785-afa9-b02b556b4ded,true,2/26/2025,6.72
586,Kimmy,14,74,843-348-9558,bronze,114910565,d6ae2ec2-1099-4c76-8913-f6a04af27110,true,11/21/2024,74.73
587,Marylynne,52,94,753-290-9965,bronze,083906684,b58a1ac3-b489-4425-a9ae-b80ef496b285,false,11/12/2024,6.3
588,Minor,48,20,552-488-6496,platinum,303188111,3615113b-e096-4838-bf12-a660ed7ea41b,true,6/26/2025,45.47
589,Diannne,34,48,189-131-3260,silver,221982156,35b407ee-4555-4b96-863d-0dbaf9d85afc,true,6/28/2025,68.77
590,Garold,11,11,854-584-3935,platinum,011807043,48118ce2-22ed-46fa-9a87-e06fea5deb3f,true,5/12/2025,73.06
591,Ade,77,53,494-238-7386,platinum,067014987,3807e9fe-9dd4-4306-b919-84b554a7e399,false,12/3/2024,41.98
592,Jaye,36,100,794-383-0734,gold,065200515,a9cc2796-05e9-46a2-8b8b-4708db8eb3ff,true,12/30/2024,66.56
593,Patty,68,42,935-862-8613,gold,084205889,a0756429-7f8a-42e3-84fb-b74f80420031,false,12/24/2024,79.45
594,Nixie,81,55,554-234-8508,silver,114909903,4259d86b-0431-4b3a-8b03-476e153c4b9c,true,11/1/2024,38.33
595,Darci,86,44,244-982-8871,gold,052173464,de4b30f3-a4a3-4786-acc7-7e510d1921b6,true,2/18/2025,22.56
596,Delora,32,43,227-262-9808,gold,055001122,62729277-4235-4eef-ac40-39aef8d10853,false,1/3/2025,83.38
597,Ned,30,10,352-416-0678,platinum,081211669,9ed41d10-fbbe-4ac0-8ae4-3fd8b89a76eb,true,4/30/2025,47.59
598,Marcia,91,92,542-254-8304,gold,071214126,632f802e-284e-4d41-b0ad-f798594437fe,true,8/20/2024,70.0
599,Damaris,91,58,760-578-3006,silver,102002757,510b4d3c-7223-450b-9e99-746290f4a313,true,3/18/2025,73.08
600,Lion,8,33,206-627-2523,bronze,111911033,e1cc3e9c-42b4-41aa-9e60-265197bcca26,true,9/17/2024,58.82
601,Jimmy,1,58,692-118-1710,gold,111303667,85f11a11-0ad1-4000-a490-8e8a211f5165,false,10/3/2024,88.78
602,Fulton,58,80,662-576-2788,silver,114902793,6205d6ca-2c1b-4e31-909e-f782f0561a58,false,12/28/2024,61.09
603,Theo,98,13,957-819-6684,platinum,071214126,3e36d697-c57b-43e6-abcc-a932bbc1a204,false,1/8/2025,40.67
604,Nikolos,32,60,202-983-8111,gold,311078802,df2939a5-3778-4550-88a5-29235d834d3b,false,9/3/2024,12.4
605,Binni,7,40,690-261-7181,gold,111910005,b1c36348-5d6b-49c0-a453-52c229581a7a,false,4/18/2025,46.54
606,Kipp,47,52,150-160-8011,bronze,071922379,16257b00-3ff9-4de5-85ba-3b389159fda6,true,10/3/2024,15.86
607,Filberto,12,52,125-166-0732,gold,325182551,070f6d33-adea-479d-9810-6ea78ff8a6f2,false,5/10/2025,97.06
608,Erika,20,8,423-371-6753,bronze,067003778,03208b91-e118-4241-b0c7-4c8f0c838f9d,true,11/4/2024,47.94
609,Jacky,100,89,445-267-3699,silver,121143697,337fcb8f-1316-460d-9bc4-0ed855a46a74,true,6/3/2025,16.1
610,Shirley,84,85,511-301-1239,silver,253185002,d824f721-2aa4-4fb8-858c-6ea765dd46cf,false,10/27/2024,38.6
611,Mariska,75,34,401-371-6695,gold,231374961,5612d5e2-f48b-40f8-bde5-3d07fa600d7e,true,6/13/2025,25.6
612,Ginnie,70,25,891-776-0817,silver,082908780,d2d22f6f-f816-4b1c-8b72-87286fb05f6e,true,4/15/2025,34.74
613,Padgett,9,59,384-871-8786,gold,091200592,3917d4d7-ca2b-4a12-84ba-bc7919f810c5,true,2/10/2025,7.21
614,Immanuel,65,65,202-655-5065,platinum,081211300,75155e78-2877-47c2-ac2a-f9678f283a85,true,8/14/2025,49.9
615,Cob,95,100,143-696-2361,bronze,053202305,f9cfda69-61fb-497b-b67a-3fb975dc6e30,false,9/9/2024,22.92
616,Sadie,87,88,922-556-4516,bronze,073903325,390c5473-e634-4e11-b823-6e902a52682a,false,3/20/2025,35.22
617,Dex,93,67,212-752-0485,bronze,084201977,c31f638c-d715-4e77-907e-306de267c78f,false,9/8/2024,29.59
618,Immanuel,8,96,497-351-4669,platinum,091206389,0120dd82-0b9b-4267-b624-1f63c8748073,false,9/30/2024,17.71
619,Abby,7,24,870-951-6079,bronze,111922527,c9cc28f1-7ac2-4830-84f1-5c4c24417671,false,5/2/2025,6.59
620,Marcelline,32,70,363-812-8290,silver,063107610,418479f4-2b95-43e2-b720-3b24fb9b9477,false,1/10/2025,18.96
621,Delores,9,52,662-866-7272,bronze,021114205,8e96aec8-746e-46bc-90b8-5142155c9e2a,true,11/12/2024,95.67
622,Isahella,14,45,409-731-0858,silver,063101111,59309616-9ed0-4f6c-b017-fe0aa3615c22,false,4/30/2025,19.73
623,Boigie,62,95,215-755-2301,silver,084107628,9c823412-9d97-40e4-ab93-9df54b6a79b5,false,3/20/2025,33.6
624,Leodora,58,59,159-529-7973,platinum,031317021,157bd07c-1f5d-4d41-8ebf-2da23255dc3b,false,7/31/2025,34.9
625,Godfrey,77,60,708-754-5017,platinum,101104504,389d1bc0-8690-40fa-9a8a-db47fa2dadee,false,4/2/2025,3.22
626,Clem,25,65,915-665-9496,platinum,071923336,7e3a5ce2-148d-43b0-80ea-cdf1bb9d3458,false,1/1/2025,77.51
627,Vanni,45,88,629-662-2002,bronze,022302689,3a4f3c11-18ad-42ef-b064-cf4361895e0e,false,9/10/2024,53.71
628,Gwendolen,17,21,268-922-6723,silver,121139313,53247933-0b10-4135-9c52-c1b763740a68,true,3/31/2025,39.68
629,Orel,7,73,741-407-9411,platinum,322285668,3de5e769-4577-47b4-be78-a3a0ca8008d6,false,6/8/2025,78.59
630,Danny,100,83,680-682-1525,bronze,053102117,fce682a0-5ff5-46f2-ae6d-d64831baa463,false,5/30/2025,79.01
631,Vitoria,46,50,919-468-8810,platinum,062206295,05c6e32f-83d6-4afd-aeac-3ff95af80a22,true,3/3/2025,49.48
632,Mahalia,16,3,116-753-5835,silver,053111674,c308fc5f-f950-4d0b-8a98-2cde8ebe8026,true,2/26/2025,59.77
633,Mahmoud,79,97,686-998-5242,gold,084074395,536c7dad-5014-43d9-9410-747119bd8cba,true,5/20/2025,65.0
